"County","State","Outbreak Date","Area Id","Flock Type","Flock Size"
"Stearns","Minnesota","04-29-2022","Stearns 09","Commercial Turkey Breeder Hens","9600"
"Fergus","Montana","04-29-2022","Fergus 01","WOAH Non-Poultry","110"
"Gallatin","Montana","04-29-2022","Gallatin 01","WOAH Non-Poultry","20"
"Pondera","Montana","04-29-2022","Pondera 01","WOAH Non-Poultry","2000"
"Washington","Nebraska","04-29-2022","Washington 01","WOAH Non-Poultry","50"
"Lancaster","Pennsylvania","04-29-2022","Lancaster 07","Commercial Duck Meat Bird","19300"
"Barron","Wisconsin","04-29-2022","Barron 03","WOAH Non-Poultry","150"
"Oconto","Wisconsin","04-29-2022","Oconto 01","WOAH Non-Poultry","220"
"Branch","Michigan","04-30-2022","Branch 01","WOAH Non-Poultry","20"
"Chisago","Minnesota","04-30-2022","Chisago 01","WOAH Non-Poultry","60"
"Chisago","Minnesota","04-30-2022","Chisago 02","WOAH Non-Poultry","30"
"Morrison","Minnesota","04-30-2022","Morrison 12","WOAH Non-Poultry","50"
"Sequoyah","Oklahoma","04-30-2022","Sequoyah 01","Commercial Broiler Breeder","13800"
"Kane","Illinois","05-03-2022","Kane 01","WOAH Non-Poultry","50"
"Chisago","Minnesota","05-03-2022","Chisago 03","WOAH Non-Poultry","30"
"Lyon","Minnesota","05-03-2022","Lyon 01","Commercial Turkey Meat Bird","120300"
"Berks","Pennsylvania","05-03-2022","Berks 01","Commercial Duck Breeder","29600"
"Berks","Pennsylvania","05-03-2022","Berks 02","Commercial Duck Meat Bird","74300"
"Beadle","South Dakota","05-03-2022","Beadle 04","Commercial Turkey Meat Bird","56200"
"Barron","Wisconsin","05-03-2022","Barron 04","Commercial Turkey Meat Bird","19300"
"Barron","Wisconsin","05-03-2022","Barron 05","Commercial Turkey Meat Bird","46700"
"Fond Du Lac","Wisconsin","05-03-2022","Fond du Lac 01","WOAH Non-Poultry","20"
"Polk","Wisconsin","05-03-2022","Polk 03","WOAH Non-Poultry","120"
"Sauk","Wisconsin","05-03-2022","Sauk 01","WOAH Non-Poultry","40"
"Bremer","Iowa","05-04-2022","Bremer 02","WOAH Non-Poultry","50"
"Carver","Minnesota","05-04-2022","Carver 02","WOAH Non-Poultry","30"
"Day","South Dakota","05-04-2022","Day 01","WOAH Poultry","80"
"Hamlin","South Dakota","05-04-2022","Hamlin 01","WOAH Non-Poultry","20"
"Linn","Oregon","05-05-2022","Linn 01","WOAH Non-Poultry","90"
"Pacific","Washington","05-05-2022","Pacific 01","WOAH Poultry","40"
"Pierce","Wisconsin","05-05-2022","Pierce 01","WOAH Non-Poultry","30"
"Oakland","Michigan","05-06-2022","Oakland 01","WOAH Non-Poultry","50"
"Anoka","Minnesota","05-06-2022","Anoka 01","WOAH Non-Poultry","10"
"Fergus","Montana","05-06-2022","Fergus 02","WOAH Non-Poultry","20"
"Spokane","Washington","05-07-2022","Spokane 01","WOAH Non-Poultry","80"
"Barron","Wisconsin","05-07-2022","Barron 06","Commercial Turkey Meat Bird","20100"
"Canyon","Idaho","05-09-2022","Canyon 01","WOAH Poultry","50"
"Ada","Idaho","05-10-2022","Ada 01","WOAH Poultry","70"
"Muskegon","Michigan","05-10-2022","Muskegon 01","Commercial Turkey Meat Bird","35100"
"Crow Wing","Minnesota","05-10-2022","Crow Wing 01","WOAH Poultry","150"
"Todd","Minnesota","05-10-2022","Todd 06","WOAH Non-Poultry","50"
"Berks","Pennsylvania","05-10-2022","Berks 04","Commercial Duck Breeder","23800"
"Berks","Pennsylvania","05-10-2022","Berks 05","Commercial Duck Meat Bird","37300"
"Lancaster","Pennsylvania","05-10-2022","Lancaster 08","Commercial Table Egg Layer","72300"
"Pierce","Washington","05-10-2022","Pierce 02","WOAH Non-Poultry","20"
"Ada","Idaho","05-11-2022","Ada 02","WOAH Non-Poultry","4"
"Chisago","Minnesota","05-11-2022","Chisago 04","WOAH Poultry","160"
"Cache","Utah","05-11-2022","Cache 02","WOAH Non-Poultry","20"
"Clallam","Washington","05-11-2022","Clallam 01","WOAH Non-Poultry","10"
"Clallam","Washington","05-11-2022","Clallam 02","WOAH Non-Poultry","10"
"Pierce","Washington","05-11-2022","Pierce 01","WOAH Non-Poultry","20"
"Ada","Idaho","05-12-2022","Ada 03","WOAH Non-Poultry","10"
"Chisago","Minnesota","05-12-2022","Chisago 05","WOAH Non-Poultry","40"
"Grant","Minnesota","05-12-2022","Grant 01","WOAH Non-Poultry","310"
"Okanogan","Washington","05-12-2022","Okanogan 01","WOAH Non-Poultry","20"
"Whatcom","Washington","05-12-2022","Whatcom 01","WOAH Non-Poultry","80"
"Ada","Idaho","05-13-2022","Ada 04","WOAH Non-Poultry","60"
"Canyon","Idaho","05-13-2022","Canyon 02","WOAH Non-Poultry","9"
"Barron","Wisconsin","05-13-2022","Barron 07","Commercial Turkey Meat Bird","10500"
"Marinette","Wisconsin","05-13-2022","Marinette 01","WOAH Non-Poultry","90"
"Lincoln","Wyoming","05-13-2022","Lincoln 01","WOAH Non-Poultry","40"
"Sheridan","Wyoming","05-13-2022","Sheridan 02","WOAH Non-Poultry","20"
"Berks","Pennsylvania","05-14-2022","Berks 06","Commercial Table Egg Breeder","83700"
"Dunn","Wisconsin","05-16-2022","Dunn 01","WOAH Non-Poultry","150"
"Ada","Idaho","05-17-2022","Ada 05","WOAH Non-Poultry","20"
"Ada","Idaho","05-17-2022","Ada 06","WOAH Poultry","9"
"Canyon","Idaho","05-17-2022","Canyon 04","WOAH Non-Poultry","50"
"Canyon","Idaho","05-17-2022","Canyon 03","WOAH Poultry","30"
